vocabulary,pos,mean
coral,n.,珊瑚
capture,v.,捕捉，奪取
prey,n.,獵物，捕獲物
integrated,adj.,綜合的；完整的
transform,v.,轉變
rectangular,adj.,長方形的
crew,n.,一起工作的一群人
Fahrenhait,n.,華氏
core,n.,核心；中心
arithmetic,n.,算數
discount,v.,忽視，忽略
subtraction,n.,減法
table,n.,目錄；九九乘法表
bound,adj.,註定的；有義務的
waste,n.,廢棄物
advance,v.,提出
column,n.,柱狀物；欄
tension,n.,張力；繃緊；緊張
scarcely,adv.,僅僅，幾乎不
afford,v.,負擔的起
heed,n.,注意，留心
purchase,v.,購買
scatter,v.,分散；散播
outstanding,adj.,傑出的；顯著的；未償付的
canal,n.,(動植物內)管道；運河
available,adj.,可利用的
composer,n.,作曲家
degree,n.,學位；度數；程度
characterize,v.,以…為特徵
insantly,n.,瘋狂
odd,adj.,奇特的，古怪的
squeeze,v.,擠，擠壓
conservative,adj.,保守的
prevail,v.,盛行，占優勢
device,n.,器具，裝置
faithful,adj.,虔誠的；忠實可靠的
replace,v.,取代，以…替代
