vocabulary,pos,mean
sophisticated,adj.,(機器)精密的，複雜的 ; 高雅的
timely,adj.,及時的，適時的
realistically,adv.,實際上，在現實情況下
promptly,adv.,迅速地；準時地
accessible,adj.,可進入的，可利用的
implement,v.,實施，執行
feedback,n.,回饋意見，反應
outstanding,adj.,傑出的；(負債等)未償付的
inform,v.,通知(某人)
replacement,n.,代替；代替物，代替者
announcement,n.,公告，宣布
department,n.,(組織，結構的)部門
permanently,adv.,永久地
fulfill,v.,滿足(條件等)，旅行(諾言、義務等)
outline,n.,概要，大綱
outline,v.,概述，略述
explain,v.,說明
contain,v.,包含，容納
compile,v.,匯編(資料等)；收集
subsequent,adj.,後來的，隨後的
overview,n.,概述；概觀
provider,n.,供應者，提供者
matter,n.,事情，事件
expertise,n.,專門知識，專門技術
demonstrate,v.,證明；(用模型、實驗等)說明；示範操作
remainder,n.,剩餘(的東西)
essential,adj.,必要的，不可或缺的，本質上的
divide,v.,劃分，分開
major,adj.,主要的，重大的
compliance,n.,(對於命令、法規的)遵守
face,v.,面對(問題等)；面向…，正對…
clarify,v.,闡明
follow,v.,跟隨…；密切注意；(清楚地)聽懂，了解
aspect,n.,觀點，方面
apparently,adv.,聽起來…，似乎
aware,adj.,知道的，意識到的
extended,adj.,(期間等)延長的，延伸的
accidentally,adv.,意外地，偶然地
advisable,adj.,可取的，明智的
concerned,adj.,擔心的；有關的
speak,v.,講話
