vocabulary,pos,mean
attire,n.,服裝，衣著
code,n.,規範，慣例；密碼
concern,n.,擔心，憂慮
concern,v.,使…擔心；關係到，影響到
policy,n.,政策，規定；保險單
comply ,v.,遵守，遵從
regulation,n.,規定
exception,n.,例外
adhere,v.,遵守，堅持
severly,adv.,嚴格地，嚴重地
refrain,v.,克制，抑制
permission,n.,允許，許可
access,n.,使用權，接近；通道
access,v.,接近，到達…
thoroughly,adv.,徹底地；完全地，非常
revise,v.,修訂，變更(意見、計畫等)
approach,n.,接近方法，處理方法
approach,v.,接近，靠近
approval,n.,批准，認可
form,n.,種類，類型，形式
immediately,adv.,立即，馬上
inspection,n.,檢查，視察
arrangement,n.,安排，準備，布置
procedure,n.,手續，程序
negative,adj.,負面的，消極的
mandate,v.,使…成為必須(做)的，授權給…
mandate,n.,授權，命令
effect,n.,(法律等)效力，效果，影響
effect,v.,造成(結果)
drastically,adv.,激烈地，大幅地，徹底地
according to,phr.,根據…，依照…
enable,v.,使…能夠(做某事)
standard,n.,標準
constant,adj.,持續的，不斷的
act,n.,法案，法令；行為，行動
act,v.,擔當；行動
compensation,n.,賠償(金)，報酬
ban,n.,禁止，禁令
ban,v.,禁止(條款)
obligation,n.,義務，責任
authorize,v.,批准…，授權…做某事
prohibit,v.,禁止(某種行為)
abolish,v.,廢除(制度、法律等)
enforce,v.,執行，實施(法律)
habit,n.,習慣
legislation,n.,立法；法律，法規
restrict,v.,限制，限定
