vocabulary,pos,mean
apathetic,adj.,冷漠的
gossamer,adj.,輕薄精緻的
dogmatic,adj.,自以為是的，教條的
superfluous,adj.,多餘的
obscure,v.；adj.,遮蔽；無名的
deferential,adj.,恭敬的
volubility,n.,口才能力
mitigate,v.,減輕
gall,n.；v.,魯莽，厚顏無恥；激怒
meticulous,adj.,嚴謹的
torpor,n.,麻木，萎靡
mawkish,adj.,多愁善感的
diffident,adj.,羞怯的
aesthete,n.,審美家
conspicuous,adj.,醒目的，顯眼的
predilection,n.,偏愛
chortle,v.,哈哈大笑
cryptic,adj.,神秘的
concede,v.,承認
preclude,v.,杜絕
bucolic,adj.,鄉村的
germane,adj.,有密切關係的
culminate,v.,以…告終，達到…頂點
glut,n.；v.,供過於求；塞滿
eschew,v.,規避
lambaste,v.,狠狠批評
incisive,adj.,銳利的
banal,adj.,平庸的
gainsay,v.,反駁
reticent,adj.,沉默寡言的
entrenched,adj.,根深蒂固的
prescience,n.,先見之明
aesthetic,adj；n.,審美的；審美觀
decorous,adj.,端莊的
impudent,adj.,無理的
vociferous,adj.,大聲叫喊的
engender,v.,引發
frivolous,adj.,輕浮的
culpability,n.,罪咎，責任
querulous,adj.,愛抱怨的
fortuitous,adj.,(有利的)偶然的
inexorable,adj.,不可阻擋的
perfidy,n.,不忠貞
platitude,n.,陳詞濫調，老生常談
rustic,adj.,質樸的，鄉村的
didactic,adj.,說教的
recondite,adj.,深奧的
audacious,adj.,大膽的，敢於冒險的
dictatorial,adj.,獨裁的
exacerbate,v.,使惡化，加劇
