vocabulary,pos,mean
fragile,adj.,易碎的
perishable,adj.,易腐壞的
deliver,v.,運送，送達；發表
ensure,v.,保證，確保
courier,n.,快遞公司，快遞員
carton,n.,紙箱
address,v.,處理，運送貨物
shipment,n.,運輸，運輸的貨物
particularly,adv.,尤其是，特別是
adequately,adv.,適當地
article,n.,物品，物件；文章，報導
efficient,adj.,有效果的，有效率的
agency,n.,代辦處，代理機構
enclose,v.,封入…；圍繞…
careful,adj.,小心的，謹慎的
pick up,phr.,取走…；用車載
carry,v.,搬運，攜帶；有販售…
attach,v.,貼上，附加
formerly,adv.,以前
react,v.,反應，做出反應
content,n.,內容
convenience,n.,便利
acknowledge,v.,承認；告知
caution,n.,小心，警告
correspondent,n.,通信，信件
separate,v.,分開，區分
separate,adj.,分開的，個別的
remarkable,adj.,出色的，引人注目的
handle,v.,處理，搬動
warehouse,n.,倉庫，倉儲
impose,v.,課徵(稅)
storage,n.,貯藏，貯藏空間
detach,v.,分開，撕下
envelope,n.,信封
exculsion,n.,排除在外
recipient,n.,收件人
affix,v.,貼上(郵票)
incorrect,adj.,不正確的
oblige,v.,使不得不做某事，迫使做某事
