vocabulary,pos,mean
complaint,n.,抱怨
deal,v.,處理；交易；分配
argumentative,adj.,爭辯的，爭論的
appropriately,adv.,適當地
respond,v.,答覆
infuriate,v.,激怒，使大怒
courteous,adj.,有禮貌的
satisfaction,n.,滿意
inconvenience,n.,不便
inconvenience,v.,對…造成不便
complete,v.,完成，結束
complete,adj.,完整的，完成的
specific,adj.,具體的，明確的
return,v.,歸還，退回
replace,v.,取代…，替換…
presentation,n.,簡報
evaluation,n.,評價，評估
confident,adj.,有自信的
cause,v.,引起…，造成…
cause,n.,原因
commentary,n.,評估，評註，實況報導
notification,n.,通知
apologize,v.,道歉
interact,v.,互動，交流；相互作用
certain,adj.,確定的，確信的；某個，某些
commitment,n.,投身，投入，致力
applaud,v.,為…鼓掌；稱讚
biography,n.,傳記，經歷介紹
critical,adj.,批評的；關鍵的；危機的
depend on,phr.,依賴的…，取決的…
combine,v.,使節合，合併
priority,n.,優先(權)，優先事項
observe,v.,觀察，注意到；遵守(規則等)
defective,adj.,有缺陷的
reflect,v.,反映，顯示
attitude,n.,態度，看法
disappoint,v.,使失望
inquire,v.,詢問
insert,v.,插入
disclose,v.,公開，透露
guarantee,v.,擔保
guarantee,n.,保證，保障
politely,adv.,禮貌地
seriously,adv.,認真地
