vocabulary,pos,mean
paralyze,v.,使麻痺或癱瘓
cavity,n,腔；洞穴
retract,v.,縮回，撤回
reproduce,v.,繁殖
composition,n.,配置，組成
shot,n.,照片，射擊
outermost,adj.,最外圍的，離中心最遠的
eclipse,n.,日蝕，月蝕
sensational,adj.,驚人的；聳動的
tardy,adj.,遲緩的，緩慢的
array,n.,一系列，整批
pest,n.,害蟲；令人討厭的人或物
once,conj.,一旦
ruin,v.,摧毀，毀壞
hypothesize,v.,假設
cohesion,n.,內聚力；結合
evaporation,n.,蒸發作用
cohesive,adj.,有凝聚力的
catalyze,v.,使加速，催化
sort,v.,將…分類
inherent,adj.,與生俱來的
spark,v.,引發，激勵
perhiphery,n.,外圍，周邊
plot,v.,(土地)分成小塊；策畫
surplus,n.,剩餘，過剩，盈餘
underscore,v.,明確顯示，強調
transit,n.,運輸，輸送
juvenile,n.,未成年者，少年；未成熟的動植物
terrestrial,adj.,陸棲的，陸地的
erosion,n.,侵蝕，腐蝕(地理)
decay,n.,腐敗；衰退；蛀牙
deposit,v.,沉積；堆積；存放；存款
specimen,n.,標本
unmatched,adj.,無可匹配的；相配的
expedition,n.,遠征(隊)，探險(隊)
explore,v.,考察，探險；研究
toil,v.,費力地做
self-sufficient,adj.,自給自足的
supplant,v.,取代；排擠掉
vigorous,adj.,有力的；活力充沛的
versatility,n.,多變性；多才多藝
