vocabulary,pos,mean
per_capita,adj.,每人的，照人數分配
seam,n.,薄礦層
haphazard,adj.,無秩序的，無計畫的
delineate,v.,畫出…輪廓
aquatic,adj.,水生的，水棲地
marvel,n.,奇蹟，令人驚喜的人事物
crouch,v.,蹲伏，屈膝縮身
prospector,n.,採礦者，探勘者
divert,v.,使改變方向，轉移
cetaceant,n.,鯨類動物
deflect,v.,轉向，偏斜
gale,n.,強風
dislodge,v.,使移動，離開原位
secrete,v.,分泌
abdomen,n.,腹部
waggle,v.,搖擺，扭動
leaven,v.,使(酵母)發酵
ferment,v.,使(飲料)發酵
adorn,v.,裝飾，扮演
pinnacle,n.,高峰；山頂；小尖塔
recur,v.,(念頭)重新浮現；(事件)再發生
indigenous,adj.,固有的，當地的
crash,adj.,速成的，應急的
concession,n.,場內商場；特許權
prodigy,n.,天才；驚人的事物
collateral,n.,抵押品，擔保品
contagious,adj.,接觸傳染性
trafficking,n.,非法交易
surveillance,n.,監視，監督
hoard,v.,囤積
lenticular,adj.,凸透視狀的
pillar,n.,柱子，柱狀物
acuity,n.,(感官)敏銳
outing,n.,遠足，短程旅行
delicacy,n.,佳餚
frigid,adj.,嚴寒的；冷淡的
thwart,v.,阻撓，使受挫折
decode,v.,解碼
jurisdiction,n.,管轄權；司法權
