vocabulary,pos,mean
undergo,v.,經歷
terminology,n.,術語，專門用語
anonymous,adj.,不具名的，作者不詳的
fluctuation,n.,變動，波動
reorient,v.,重定方向
provincialism,n.,偏狹性；地方風格
velocity,n.,速度
dispatch,v.,派遣；發送
freight,n.,貨物；運貨
nurture,v.,發展；培植
fashion,v.,製作，設計
tribe,n.,部落，種族
staple,n.,主要成分；日常用品
pliable,adj.,柔韌的，易彎曲的
igneous,adj.,(岩石)火成的
well,v.,湧出，噴出
molten,adj.,熔融的，熔化的
bury,v.,埋藏；埋葬
contemporary,adj.,當代的；同時代的
texture,v.,(岩石)紋理；質地
grained,adj.,晶粒的，成粒狀的
disproportionate,adj.,不成比例的
cutting_edge,n.,最前端，尖端；刀刃
barter,n.,以物易物
outbreak,n.,(戰爭)爆發，突然發生
dictate,v.,支配；指使；命令
lace,v.,周邊接著
breadbasket,n.,產糧區，穀物產地
optimization,n.,最佳化
numerical,adj.,數字的，以數字表示的
variable,n.,變數，可變因素
succint,adj.,簡潔的
acclaim,v.,讚揚，歡呼，喝采
toxic,adj.,有毒的；中毒的
foremost,adj.,第一的；最重要的
