vocabulary,pos,mean
conserve,v.,保存，保護
chance,n.,可能性，機會
forecast,n.,(天氣)預報
waste,n.,廢棄物，垃圾
dispose,v.,處理，處置
recycling,n.,回收再利用
clear,adj.,晴朗的；清楚的，明顯的
clear,adv.,清晰的，完全；遠離
significant,adj.,相當大的；重要的，重大的
occur,v.,(事情)發生，出現
ideal,adj.,理想的
preserve,v.,保存，保護
aid,n.,援助
excessive,adj.,過度的，過分的
intensively,adv.,集中的
vary,v.,不同，變化
pleasing,adj.,令人愉快的，令人滿意的
mark,v.,慶祝
inaccessible,adj.,不能進入的，不能利用的
disturb,v.,打擾
pollutant,n.,汙染物質
emission,n.,排放，排放物
dense,adj.,密集的，濃密的
environmental,adj.,環境的
consistent,adj.,一致的，一貫的，持續的
leak,n./v.,洩漏，漏出
organization,n.,組織，機構
continually,adv.,頻繁地，一再地
contaminate,v.,汙染
disaster,n.,災難
discharge,v.,排放
resource,n.,資源
prominent,adj.,著名的，顯著的
deplete,v.,耗盡
purify,v.,淨化
endangered,adj.,瀕臨絕種的
extinction,n.,絕種
drought,n.,乾旱
inflict,v.,施加，使遭受(痛苦、傷害)
migration,n.,遷移，移動
ecology,n.,生態，生態學
habitat,n.,(動植物的)棲息地
