vocabulary,pos,mean
apologetic,adj.,充滿歉意的
apparatus,n.,設備；儀器
apparent,adj.,明顯的
appeal,v.；n.,對…有吸引力；吸引力
appear,v.,出現;呈現;顯現
appetite,n.,胃口
applaud,v.,鼓掌；喝采
appliance,n.,家電用品
applicable,adj.,可實行的
appoint,v.,指派
appreciate,v.,感激；體會
apprehensive,adj.,恐懼的；焦慮的
approach,v.；n.,接近；途徑，方法
appropriate,v.；adj.,私佔，挪用；合適的
approval,n.,認同；贊同
approximate,v.；adj.,接近；大約的
aptitude,n.,天才；天資
arbitrarily,adv.,專斷地
arch,n.,拱門
architect,n.,建築師
archaeology,n.,考古學
archipelago,n.,群島
arctic,n.；adj.,北極(的)
ardent,adj.,熱烈的；激動的
arduous,adj.,艱鉅的；費力的
arguably,adv.,雄辯地
arise,v.,發生；產生；出現
aristocrat,n.,貴族
arithmetic,n.,算術
armor,n.,盔甲
arouse,v.,喚起；使激動
arrange,v.,整理；安排
arrest,v.；n.,逮捕，居留
arrive,v.,到達
arrogance,n.,傲慢，自大
artery,n.,動脈
article,n.,文章；冠詞；一件物品
artifice,n.,詭計
ascend,v.,登高；上升
ascertain,v.,查明；弄清
