vocabulary,pos,mean
accustomed,adj.,習慣的
corporation,n.,股份(有關)公司，法人
demanding,adj.,要求很多，吃力的
colleague,n.,(工作上的)同事
division,n.,部門
request,n.,要求(名詞)
request,v.,要求(動詞)
efficiently,adv.,有效率地
manage,v.,經營，管理；設法做到，免強做到
submit,v.,提交
directly,adv.,直接地
remind,v.,提醒，使想起
instruct,v.,指示，教導
deadline,n.,截止期限，最後期限
sample,n.,樣本，樣品，試用品
sample,v.,試吃，抽樣檢查
notify,v.,通知告知
perform,v.,執行，實施(工作、任務、義務等)
monitor,v.,監察，監控，監督
deserve,v.,值得，應該得到
assignment,n.,工作，任務，作業
entire,adj.,整個的
release,v.,發表，公開
release,n.,發行，上市
extension,n.,延長，延期；(電話的)分機
electronically,adv.,以電子的方式(利用電腦、經由電腦傳輸)
attendance,n.,出席，活動
absolutely,adv.,絕對地，完全地
delegate,v.,委任(權限等)
delegate,n.,代表
attentively,adv.,專心地，聚精會神地
supervision,n.,(某事物的)監督
workshop,n.,專題套論會，演討會
draw,v.,拉，吸引
revision,n.,修訂
reluctantly,adv.,不情願地，勉強地
acquaint,v.,使…認識，使…熟悉
convey,v.,傳達(事情)
check,v.,檢查，查明；確認
headquarters,n.,總部，總公司
file,v.,把…歸檔；正式提起或提出(文件、申請、告訴等)
oversee,v.,監督(某過程)
involved,adj.,有關的，牽涉在內的
concentrate,v.,集中，專注
