vocabulary,pos,mean
jeopardy,n.,危險
constraint,n.,強制，約束
elapse,v.,(時間)過去；消逝
appease,v.,滿足；緩和或平息
besiege,v.,(質問)圍攻或困擾
ambivalence,n.,矛盾心態；兩面價值
veterinarian,n.,獸醫
arbitrate,v.,仲裁，調停
dissertation,n.,博士論文
retrieve,v.,取回；檢索
lapse,n.,(時間)間隔；失誤；衰退
relentless,adj.,無情的
inexorable,adj.,毫不寬容的
introvert,n.,內向的人
subdue,v.,鎮壓，制伏，抑制
asthma,n.,氣喘
hierarchy,n.,階級組織，階級制度；統治集團
scavenger,n.,食腐動物
breach,v.,觸犯；突破
assent,v.,同意，贊成
stalemate,n.,僵局，膠著狀況
bestow,v.,授予，贈與
pivotal,adj.,關鍵的，中樞的
conflicting,adj.,相互衝突的，矛盾的
dwelling,n.,住宅，住處
impetus,n.,促進，刺激，推進力
incadescent,adj.,白熾的；光亮的
scruple,n.,顧慮，顧忌
fend,v.,照顧，供養
volatile,adj.,揮發性的；易變的
euthanasia,n.,安樂死
contingency,n.,偶然，偶發事件
saline,adj.,含鹽分的
basin,n.,流域；洗臉盆
clinch,v.,做最終決定
crustacean,n.,甲殼類動物
embellish,v.,裝飾，美化
excrete,v.,排泄，分泌
geyser,n.,間歇泉
integrity,n.,完整性，整體
menial,adj.,做卑微工作的
novelty,n.,新奇的人事物
crumple,v.,使皺，起皺
