vocabulary,pos,mean
audit,n.,審計，查帳
accounting,n.,會計
budget,n.,預算
financial,adj.,財務的，金融的
curtail,v.,縮減，削減
deficit,n.,赤字，不足額
recently,adv.,最近
substantially,adv.,大大地，相當多地
committee,n.,委員會
frequently,adv.,頻繁地，經常
capability,n.,能力，才能
proceeds,n.,收入
reimburse,v.,補償，核銷
considerably,adv.,相當，相當多地
adequate,adj.,足夠的，適當的
allocate,v.,分配，分派
inspector,n.,檢查員，督察員
preferred,adj.,偏好的，優先的
quarter,n.,季度；四分之一
interrupt,v.,打斷，中斷
browse,v.,瀏覽，隨意觀看
prompt,adj.,即時的，迅速的
deduct,v.,扣除，減除
measurement,n.,測量，測定；尺寸
shorten,v.,縮短，變短
amend,v.,修正
calculate,v.,計算
exempt,adj.,被免除的
deficient,adj.,不足的，缺乏的
compare,v.,比較
fortunate,adj.,幸運的
expenditure,n.,支出，開支
accurately,adv.,精確地
worth,adj.,值得…的
worth,n.,價值
excess,n.,超過，過量
fiscal,adj.,會計的，財政的
incidental,adj.,附帶的
inflation,n.,通貨膨脹
liable,adj.,副有責任的，很有可能會…的
spend,v.,花費，花用
turnover,n.,營業額，交易額；人事異動率
