vocabulary,pos,mean
circumvent,v.,避開
uncanny,adj.,超乎尋常的；怪異的
diverge,v.,張裂，岔開
submerge,v.,淹沒；使陷入；避開
prop,n.,支柱，支撐物
destitute,adj.,窮困的
subterranean,adj.,地下的；隱蔽的
adobe,n.,泥磚
thatch,v.,以(茅草)做屋頂
fluctuate,v.,起伏，波動
diffusion,n.,傳播，擴散，普及；冗長
scarcity,n.,稀少，不足
lathe,n.,車床
fault,v.,產生斷層
dietary,adj.,飲食的
expanse,n.,廣闊的區域；寬闊
acceleration,n.,加速，促進
ignite,v.,點火
extraterrestrial,adj.,宇宙的，地球外的
perpetuate,v.,使持續或永存的
theorem,n.,定理，原理
deductive,adj.,演藝的，推論的
gravel,n.,礫石，碎石；沙礫層
refuse,n.,垃圾，廢物
protrude,v.,伸出，突出
venture,v.,敢做；冒…之險
wobble,v.,擺動，搖晃
cursory,adj.,草率的，倉促的
intact,adj.,毫髮無傷的，完整無缺的
blueprint,n.,藍圖，詳細的計畫
siege,n.,圍成
hamper,v.,妨礙，阻止
plot,v.,圖上標出位址；將(土地)分成小塊
rogue,adj.,游離的，離群的
disrupt,v.,使分裂；使擾亂；使中斷
