vocabulary,pos,mean
humility,n.,謙遜
heterogenous,adj.,異質的，不同種類組成的
meteorologist,n.,氣象學家
tranquility,n.,寂靜
ingenious,adj.,精巧的，具有創造的
discrete,adj.,獨立的，不同的
despoiler,n.,掠奪者
unsung,adj.,(人、功績)未受到頌揚的
glacial,adj.,冰川的，冰河的
eruption,n.,(火山的)爆發
labyrinth,n.,迷宮，迷路
distribution,n.,流通，分布，分配
conspiracy,n.,陰謀；共謀
tenement,n.,廉價公寓
turbulent,adj.,狂暴的，擾亂的，洶湧的
imbibe,v.,喝，吸收
stringent,adj.,嚴格的，必須遵守的
self-contained,adj.,自給自足的，設備齊全的
portend,v.,預告，成為…的前兆
opaque,adj.,透明的
malleable,adj.,有延展性的；順從的
viscosity,n.,黏性的
bipedal,adj.,兩足動物的
continuum,n.,(事件)連續
feature,v.,以…做為號召
elusive,adj.,難以理解的
vault,n.,拱頂
trace,n.,極微的量
embed,v.,使牢牢固定於
shy,v.,畏縮，迴避
irrevocable,adj.,不可改變的，不能撤回的
proliferation,n.,繁衍，增值，激增
constitute,v.,構成；制定(法律)
channel,v.,將…導向
hydrosphere,n.,水文圈
immunity,n.,免疫
concert,v.,一起計劃或安排，協調
degration,n.,墮落，退化
ideology,n.,意識形態
ledge,n.,岩石平台
