vocabulary,pos,mean
biochemistry,n.,生物化學
biography,n.,傳記
bitterly,adv.,苦惱地
bizarre,adj.,怪異的
blame,v.,責怪
blast,v.；n.,爆破；疾風
bleach,n.,漂白劑
bleak,adj.,荒涼的
blend,v.；n.,使調和；混合
bless,v.,保佑
blind,v.；n.,蒙蔽；眼盲的
blinkered,adj.,狹隘的；偏執的
blow,v.；n.,吹，颳；重擊
bluff,v.,虎假虎威
blunder,v.,踉踉蹌蹌
blunt,v.；adj.,使變鈍；鈍的
blurt,v.,脫口而出
boastful,adj.,自誇的
bold,adj.；n.,大膽的；粗體
bombastic,adj.,誇大其辭的
bond,v.,建立；培養
boost,v.,促進
bore,v.,使厭煩
boreal,adj.,北的；北風的；北極的
inborn,adj.,天生的；天賦的
botany,n.,植物學
boulevard,n.,大道
bounce,v.,彈跳
bound,v.；n.,跳躍；受束縛的
bounty,n.,慷慨；賞金
bowel,n.,腸
boycott,v.,杯葛；聯合抵制
brace,v.,撐靠；使緊繃
braille,n.,盲文；點字
branch,v.；n.,分岔；樹枝
brand,v.,給…打上烙印
brass,n.,黃銅
breed,v.；n.,繁殖；品種
breeze,v.；n.,自信地走入；微風
brew,v.,釀造
