vocabulary,pos,mean
reckless,adj.,不顧危險的，盧蟒的
wedge,n.,楔子
boost,v.,增加，促進，提高
haunt,v.,揮之不去；經常出沒
plateau,n.,高原，高地
infrastructure,n.,基礎建設；基層組織
tentative,adj.,暫時性的，試探性的
esteem,v.,尊敬，珍重
negligence,n.,疏忽，忽視
unambiguous,adj.,不含糊的
dismiss,v.,解除…職務；解散
cumbersome,adj.,效率不彰的；麻煩的
latently,adv.,潛在地
recession,n.,經濟衰退，不景氣
leukemia,n.,白血病，血癌
intervene,v.,介入，干涉，調停
ratify,v.,正式批准
bureaucracy,n.,文官政治，官僚體制
thrive,v.,迅速繁衍，蓬勃發展
dividend,n.,股利
meticulous,adj.,小心翼翼的
dump,v.,傾倒(垃圾)
whart,n.,碼頭
strife,n.,糾紛，鬥爭
prone,adj.,有…傾向
carnivore,n.,肉食性動物
harass,v.,騷擾，使困擾
reciprocal,adj.,相互的，互惠的
entity,n.,實體的
imperative,adj.,必要的，強制的，命令的
precarious,adj.,不穩定的
canine,n.,犬科動物
preamble,n.,前言，序言
analogy,n.,類比，類似
plausible,adj.,似乎合理的，可信的
