vocabulary,pos,mean
announce,v.,宣告，公告
interested,adj.,有利害關西的，感興趣的
active,adj.,積極的，活躍的
accept,v.,接受，採用
foresee,v.,遇見，預知
expansion,n.,擴張，擴大
relocate,v.,搬遷(工廠)
competitor,n.,競爭者
asset,n.,資產
contribute,v.,捐獻，貢獻
dedicated,adj.,專注的，奉獻的
misplace,v.,放錯地方
considerable,adj.,相當大的，相當多的
last,v.,持續
emerge,v.,出現，浮現
merger,n.,合併
imply,v.,暗示，意味著
vital,adj.,必要的
persist,v.,堅持不懈，持續
independent,adj.,獨立的，自立的
force,n.,勢力
establish,v.,創立，建立
initiate,v.,開始(事業)
enhance,v.,提升，提高，改善(品質)
renowned,adj.,著名的，有名的，有聲譽的
informed,adj.,根據情報的
minutes,n.,會議記錄
waive,v.,放棄(權利、要求)，免除
reach,v.,達到(尺寸、數量)，抵達…
authority,n.,權力；當局
acquire,v.,取得，收購
surpass,v.,超越，勝過
run,v.,經營，營運
improbable,adj.,不太可能，不太可能發生的
edge,n.,優勢；邊緣
simultaneously,adv.,同時地
reveal,v.,接露，透露
productivity,n.,生產力
uncertain,adj.,不確定，不明確的
premier,adj.,第一的，首要的
