vocabulary,pos,mean
subsequently,adv.,後來，隨後
board,v.,登上(交通工具)
last,v.,持續
conceive,v.,構思出
accompany,v.,同行；伴奏
lift,n.,便車
head,v.,向…前進
mind,n.,心智，推理思考的能力
twist,v.,使扭轉；歪曲
wrap,v.,包裹，圍住
wit,n.,智力；機智
arson,n.,縱火(罪)
icicle,n.,冰柱
plug,v.,使塞住
drapery,n.,帳，幔，布
publicity,n.,名聲；廣告
clarify,v.,澄清；使…純淨
tortoise,n.,陸龜
pale,adj.,淡的(顏色)
reject,v.,拒絕
hectic,adj.,忙碌的
plumbing,n.,水管系統
infamous,adj.,惡名昭彰的
comprehend,v.,理解
swamp,n.,沼澤
surrender,v.,投降
orchard,n.,果園
beverage,n.,飲料
enroll,v.,註冊
informative,adj.,知識性的
prescription,n.,處方籤
pharmacist,n.,藥劑師
compliment,n.,讚美
identity,n.,身分
spiral,adj.,螺旋的
cone,n.,圓錐狀
favor,n.,恩惠
lay_off,v.,解雇
starch,n.,澱粉
livestock,n.,家畜
