vocabulary,pos,mean
administer,v.,管理；執行
admirable,adj.,值得讚揚的
admiral,n.,海軍將官
admission,n.,許可；入場費
adolescent,n；adj.,青少年；青春期的
adopt,v.,採用；領養
adore,v.,崇拜
adorn,v.,裝飾
advance,v.；n.；adj.,前進，進步；~；預先的
advantage,n.,優點；利益
advertise,v.,做廣告，宣傳
advice,n.,忠告
advocate,v.；n.,倡導；倡導者
aeronautical,adj.,航空學的
affair,n.,事務；外遇
affected,adj.,矯揉做作的
affirm,v.,證實；肯定
afford,v.,買得起；負擔的起
affront,v.,當眾悔辱，冒犯
afterward,adv.,後來
agent,n.,代表，代理人，經理；原動力
agenda,n.,日程表，議程
aggression,n.,侵略性
aghast,adj.,震驚的
agony,n.,劇痛
agricultural,adj.,農業的
ahead,adv.,在前面
aim,v.；n.,打算，瞄準；目標
aisle,n.,(戲院，教堂)通道，走廊
albino,n.,白化病者；白化現象
album,n.,相本；專輯
alike,adj.；adv.,相像的；相同地
alive,adj.,活著的
allergic,adj.,過敏的
alleviate,v.,減輕，緩和
alleyway,n.,小巷，胡同
allocate,v.,分配，調配
almond,n.,杏仁
almost,adv.,幾乎
along,adv；prep.,一起地；沿著
aloofness,n.,冷漠；高傲
aloud,adv.,大聲地
also,adv.,除此之外；還
altar,n.,祭壇，聖台
alter,v.,改變
altitude,n.,海拔高度
altogether,adv.,完全地
aluminum,n.,鋁
amaze,v.,使驚奇
