vocabulary,pos,mean
fungi,n.,菌類，真菌
metabolize,v.,使新陳代謝
hibernate,v.,冬眠
posture,n.,姿勢，舉止
sedimentary,adj.,沉積的
treason,n.,叛國，通敵
prosaic,adj.,缺乏靈感的，乏味的
unwarranted,adj.,無理由的，無根據的
elude,v.,躲避
flee,v.,逃走，逃避
replicate,v.,複製
tag,v.,緊跟，尾隨
counterfeit,adj.,偽造的，假冒的
premiere,n.,首演，首映
undermine,v.,削弱，破壞
nocturnal,adj.,夜間的
friction,n.,摩擦力
duration,n.,時間長度，持續時間
maternal,adj.,母親的；母系的
polygon,n.,多邊形
kinetic,adj.,運動的
stationary,n.,文具；信紙
elliptical,adj.,橢圓形的
apply,v.,塗，敷
nomad,n.,游牧者；流浪者
thaw,v.,融化，溶解
ingestion,n.,攝取
consume,v.,吃或喝；消費，消耗
edible,adj.,可食用的
deficit,n.,赤字；缺乏
organic,adj.,有機的；器官的；基本的
pier,n.,橋墩；碼頭
lateral,adj.,橫向的；側面的
legibal,adj.,清晰易讀的
flattering,adj.,奉承的，討喜的
ignoble,adj.,卑鄙的，可恥的
weathering,n.,風化作用
murky,adj.,黯沉的，憂鬱的
