vocabulary,pos,mean
largess,n.,慷慨
decorum,n.,端莊
adamant,adj.,堅持的
iconoclastic,adj.,反傳統性的
espouse,v.,支持
provincial,adj.,狹隘的
soporific,adj.,催眠的
implacable,adj.,不饒人的，無法改變的
laudable,adj.,值得讚揚的
copious,adj.,大量的
pragmatic,adj.,務實的，實際的
exacting,adj.,要求嚴格的
hackneyed,adj.,老套的
petulant,adj.,脾氣暴躁的，任性的，耍孩子脾氣的
ingratiate,v.,阿諛奉承，討好
eradicate,v.,根除，杜絕
pedantic,adj.,迂腐的，書呆子的
bumbling,adj.,笨手笨腳的
denigrate,v.,詆毀，誹謗
expound,v.,詳細解釋，闡述
exalt,v.,頌揚；晉升
unscrupulous,adj.,無道德原則的
intransigent,adj.,固執的
idiosyncrasy,n.,癖好，怪癖
temperance,n.,自我克制，節制
incorrigible,adj.,無可救藥的
contingent,n.；adj.,代表團；視…而定
reconcile,v.,使一致；調和，調解
refute,v.,駁斥，反駁，否認
confound,v.,使困惑
discrete,adj.,獨立的，各自的
ostentatious,adj.,招搖的
apocryphal,adj.,不足為信的，可疑的
ignoble,adj.,可恥的
indifference,n.,漠不關心
construe,v.,將…視為
myopic,adj.,目光短淺的
opaque,adj.,難理解的，不透明的
pundit,n.,專家，權威
underscore,v.,強調，下劃線
acerbic,adj.,尖刻的，辛辣的
burheon,v.,迅速發展
forthcoming,adj.,即將發生的；樂於助人的
tortuous,adj.,曲折的，拐彎抹角的
abstruse,adj.,深奧的
admonitory,adj.,忠告的
aberrant,adj.,反常的，異常的
implausible,adj.,難以置信的
blatant,adj.,公然的
exonerate,v.,證明…無罪，使免受責
