vocabulary,pos,mean
fatigue,n.,疲勞
checkup,n.,健康檢查
symptom,n.,症狀
physician,n.,內科醫師
diagnosis,n.,診斷
prescibe,v.,開(藥方)
recovery,n.,恢復，康復
recognize,v.,認定，承認，認出；表彰
comprehensive,adj.,全面的，綜合的
participate,v.,參與，參加
necessary,adj.,必要的
operation,n.,手術
cleanliness,n.,清潔
duration,n.,持續期間
examination,n.,檢查，審查
eliminate,v.,排除，消除
easily,adv.,容易地
dental,adj.,牙科的，牙齒的
dietary,adj.,飲食的，節食的
related,adj.,有關的
transmit,v.,傳播，傳送
periodically,adv.,週期性地，定期地
reaction,n.,反應
coverage,n.,理賠範圍；(新聞)報導
exposure,n.,暴露
pharmaceutical,adj.,製藥的，藥劑學的
premium,n.,保險費
relieve,v.,緩解
combination,n.,結合，組合
conscious,adj.,有意識的，意識到的
deprivation,n.,剝奪，缺乏
induce,v.,引起
insurance,n.,保險
nutrition,n.,營養
prevention,n.,預防
susceptible,adj.,易受感染的，易受影響的
