vocabulary,pos,mean
collection,n.,收藏品，收集的東西；(款項的)收取
exhibition,n.,展覽
celebrity,n.,名人
live,adj.,現場表演的，(廣播、電視)直播的
improvise,v.,即興演奏，即席演講，即興創作
popular,adj.,受歡迎的
donation,n.,捐贈，捐獻
alumni,n.,校友們，畢業生們
present,v.,提出，提示
present,adj.,現在的；出席
admission,n.,入場
banquet,n.,宴會
anniversary,n.,週年紀念日
required,adj.,必要的，必須的
succed,v.,成功；接著發生，繼任
rest,v.,休息
rest,n.,休息；剩餘部分
fund-raising,n.,募款
resume,v.,繼續，重新開始
issue,n.,(期刊的)一期；問題爭論
subscription,n.,(定期刊物的)訂閱
appear,v.,出現，現身
accompany,v.,陪同，伴隨
edition,n.,(出版品的)版本
specifically,adv.,明確地，具體地，特別，特別地
anonymous,adj.,匿名的，不具名的
commit,v.,奉獻，使致力於某事
imformative,adj.,提供資訊的，有益的
audience,n.,聽眾，觀眾
author,n.,作家，作者
note,v.,注意到；提及
antique,n.,古董
manuscript,n.,手稿，原稿
beneficial,adj.,有益的，有利的
upcoming,adj.,即將來到的
lend,v.,借出
current,adj.,現在的，目前的；現行的，通用的
local,adj.,地方的，當地的
variety,n.,多樣性，變化
advocate,n.,擁護者
contributor,n.,捐贈者，投稿人
defy,v.,反抗；使(說明、描寫等)不可能
fascinating,adj.,迷人的，美妙的
showing,n.,(電影、舞台劇等)上映，上演；展示
